configuration_id,repository,tasks,retained_accepted
forall_fable_low,veil,5,5
numina_fable_low,ArkLib,5,4
numina_fable_low,LeanExprEvaluator,3,3
numina_fable_low,LeroyCompilerVerificationCourse,4,4
numina_fable_low,VCV-io,17,10
numina_fable_low,clean,47,45
numina_fable_low,iris-lean,1,1
numina_fable_low,juvix-lean,5,5
numina_fable_low,lean-formal-reasoning-program,7,5
numina_fable_low,loom,5,3
numina_fable_low,pcf-lean,1,1
numina_fable_low,veil,5,5
codex_sol_low,ArkLib,5,5
codex_sol_low,LeanExprEvaluator,3,3
codex_sol_low,LeroyCompilerVerificationCourse,4,2
codex_sol_low,VCV-io,17,17
codex_sol_low,clean,47,43
codex_sol_low,iris-lean,1,1
codex_sol_low,juvix-lean,5,5
codex_sol_low,lean-formal-reasoning-program,7,6
codex_sol_low,loom,5,5
codex_sol_low,pcf-lean,1,1
codex_sol_low,veil,5,5
forall_sol_low_codex,ArkLib,5,5
forall_sol_low_codex,LeanExprEvaluator,3,3
forall_sol_low_codex,LeroyCompilerVerificationCourse,4,4
forall_sol_low_codex,VCV-io,17,17
forall_sol_low_codex,clean,47,46
forall_sol_low_codex,iris-lean,1,1
forall_sol_low_codex,juvix-lean,5,5
forall_sol_low_codex,lean-formal-reasoning-program,7,7
forall_sol_low_codex,loom,5,5
forall_sol_low_codex,pcf-lean,1,1
forall_sol_low_codex,veil,5,5
codex_sol_xhigh,ArkLib,5,5
codex_sol_xhigh,LeanExprEvaluator,3,3
codex_sol_xhigh,LeroyCompilerVerificationCourse,4,4
codex_sol_xhigh,VCV-io,17,17
codex_sol_xhigh,clean,47,44
codex_sol_xhigh,iris-lean,1,1
codex_sol_xhigh,juvix-lean,5,5
codex_sol_xhigh,lean-formal-reasoning-program,7,7
codex_sol_xhigh,loom,5,5
codex_sol_xhigh,pcf-lean,1,1
codex_sol_xhigh,veil,5,5
forall_sol_xhigh_codex,ArkLib,5,5
forall_sol_xhigh_codex,LeanExprEvaluator,3,3
forall_sol_xhigh_codex,LeroyCompilerVerificationCourse,4,4
forall_sol_xhigh_codex,VCV-io,17,17
forall_sol_xhigh_codex,clean,47,47
forall_sol_xhigh_codex,iris-lean,1,1
forall_sol_xhigh_codex,juvix-lean,5,5
forall_sol_xhigh_codex,lean-formal-reasoning-program,7,7
forall_sol_xhigh_codex,loom,5,5
forall_sol_xhigh_codex,pcf-lean,1,1
forall_sol_xhigh_codex,veil,5,5
opencode_sol_low,ArkLib,5,4
opencode_sol_low,LeanExprEvaluator,3,0
opencode_sol_low,LeroyCompilerVerificationCourse,4,2
opencode_sol_low,VCV-io,17,14
opencode_sol_low,clean,47,28
opencode_sol_low,iris-lean,1,1
opencode_sol_low,juvix-lean,5,5
opencode_sol_low,lean-formal-reasoning-program,7,3
opencode_sol_low,loom,5,4
opencode_sol_low,pcf-lean,1,1
opencode_sol_low,veil,5,5
forall_sol_low_opencode,ArkLib,5,5
forall_sol_low_opencode,LeanExprEvaluator,3,1
forall_sol_low_opencode,LeroyCompilerVerificationCourse,4,0
forall_sol_low_opencode,VCV-io,17,12
forall_sol_low_opencode,clean,47,31
forall_sol_low_opencode,iris-lean,1,1
forall_sol_low_opencode,juvix-lean,5,4
forall_sol_low_opencode,lean-formal-reasoning-program,7,5
forall_sol_low_opencode,loom,5,5
forall_sol_low_opencode,pcf-lean,1,1
forall_sol_low_opencode,veil,5,5
